fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
34,21929,Burnley,Spurs,Burnley,Tottenham
35,21930,Chelsea,Nott'm Forest,Chelsea,Nottingham Forest
33,21931,Brighton,Newcastle,Brighton,Newcastle United
36,21932,Crystal Palace,Wolves,Crystal Palace,Wolverhampton Wanderers
37,21933,Liverpool,Aston Villa,Liverpool,Aston Villa
31,21934,Arsenal,Man Utd,Arsenal,Manchester United
50,21935,Wolves,Liverpool,Wolverhampton Wanderers,Liverpool
48,21936,Spurs,Sheffield Utd,Tottenham,Sheffield United
49,21937,West Ham,Man City,West Ham,Manchester City
41,21938,Aston Villa,Crystal Palace,Aston Villa,Crystal Palace
44,21939,Fulham,Luton,Fulham,Luton
45,21940,Man Utd,Brighton,Manchester United,Brighton
46,21943,Newcastle,Brentford,Newcastle United,Brentford
42,21942,Bournemouth,Chelsea,Bournemouth,Chelsea
43,21941,Everton,Arsenal,Everton,Arsenal
47,21944,Nott'm Forest,Burnley,Nottingham Forest,Burnley
58,21945,Luton,Wolves,Luton,Wolverhampton Wanderers
59,21946,Man City,Nott'm Forest,Manchester City,Nottingham Forest
56,21948,Crystal Palace,Fulham,Crystal Palace,Fulham
52,21949,Brentford,Everton,Brentford,Everton
54,21950,Burnley,Man Utd,Burnley,Manchester United
55,21947,Chelsea,Aston Villa,Chelsea,Aston Villa
53,21951,Brighton,Bournemouth,Brighton,Bournemouth
51,21952,Arsenal,Spurs,Arsenal,Tottenham
57,21953,Liverpool,West Ham,Liverpool,West Ham
60,21954,Sheffield Utd,Newcastle,Sheffield United,Newcastle United
61,21955,Aston Villa,Brighton,Aston Villa,Brighton
63,21956,Everton,Luton,Everton,Luton
65,21957,Man Utd,Crystal Palace,Manchester United,Crystal Palace
66,21958,Newcastle,Burnley,Newcastle United,Burnley
62,21959,Bournemouth,Arsenal,Bournemouth,Arsenal
69,21960,West Ham,Sheffield Utd,West Ham,Sheffield United
70,21961,Wolves,Man City,Wolverhampton Wanderers,Manchester City
68,21962,Spurs,Liverpool,Tottenham,Liverpool
67,21963,Nott'm Forest,Brentford,Nottingham Forest,Brentford
64,21964,Fulham,Chelsea,Fulham,Chelsea
15,22289,Luton,Burnley,Luton,Burnley
77,21971,Luton,Spurs,Luton,Tottenham
73,21967,Burnley,Chelsea,Burnley,Chelsea
75,21969,Everton,Bournemouth,Everton,Bournemouth
76,21970,Fulham,Sheffield Utd,Fulham,Sheffield United
78,21972,Man Utd,Brentford,Manchester United,Brentford
74,21968,Crystal Palace,Nott'm Forest,Crystal Palace,Nottingham Forest
72,21966,Brighton,Liverpool,Brighton,Liverpool
79,21973,West Ham,Newcastle,West Ham,Newcastle United
80,21974,Wolves,Aston Villa,Wolverhampton Wanderers,Aston Villa
71,21965,Arsenal,Man City,Arsenal,Manchester City
85,21979,Liverpool,Everton,Liverpool,Everton
82,21975,Bournemouth,Wolves,Bournemouth,Wolverhampton Wanderers
83,21977,Brentford,Burnley,Brentford,Burnley
86,21980,Man City,Brighton,Manchester City,Brighton
87,21981,Newcastle,Crystal Palace,Newcastle United,Crystal Palace
88,21982,Nott'm Forest,Luton,Nottingham Forest,Luton
84,21978,Chelsea,Arsenal,Chelsea,Arsenal
89,21983,Sheffield Utd,Man Utd,Sheffield United,Manchester United
81,21976,Aston Villa,West Ham,Aston Villa,West Ham
90,21984,Spurs,Fulham,Tottenham,Fulham
96,21990,Crystal Palace,Spurs,Crystal Palace,Tottenham
95,21989,Chelsea,Brentford,Chelsea,Brentford
93,21985,Bournemouth,Burnley,Bournemouth,Burnley
91,21986,Arsenal,Sheffield Utd,Arsenal,Sheffield United
100,21994,Wolves,Newcastle,Wolverhampton Wanderers,Newcastle United
99,21993,West Ham,Everton,West Ham,Everton
92,21987,Aston Villa,Luton,Aston Villa,Luton
94,21988,Brighton,Fulham,Brighton,Fulham
97,21991,Liverpool,Nott'm Forest,Liverpool,Nottingham Forest
98,21992,Man Utd,Man City,Manchester United,Manchester City
104,21998,Fulham,Man Utd,Fulham,Manchester United
101,21995,Brentford,West Ham,Brentford,West Ham
102,21996,Burnley,Crystal Palace,Burnley,Crystal Palace
103,21997,Everton,Brighton,Everton,Brighton
106,22000,Man City,Bournemouth,Manchester City,Bournemouth
109,22003,Sheffield Utd,Wolves,Sheffield United,Wolverhampton Wanderers
107,22001,Newcastle,Arsenal,Newcastle United,Arsenal
108,22002,Nott'm Forest,Aston Villa,Nottingham Forest,Aston Villa
105,21999,Luton,Liverpool,Luton,Liverpool
110,22004,Spurs,Chelsea,Tottenham,Chelsea
120,22014,Wolves,Spurs,Wolverhampton Wanderers,Tottenham
111,22006,Arsenal,Burnley,Arsenal,Burnley
116,22010,Crystal Palace,Everton,Crystal Palace,Everton
118,22012,Man Utd,Luton,Manchester United,Luton
113,22005,Bournemouth,Newcastle,Bournemouth,Newcastle United
112,22007,Aston Villa,Fulham,Aston Villa,Fulham
114,22008,Brighton,Sheffield Utd,Brighton,Sheffield United
117,22011,Liverpool,Brentford,Liverpool,Brentford
119,22013,West Ham,Nott'm Forest,West Ham,Nottingham Forest
115,22009,Chelsea,Man City,Chelsea,Manchester City
126,22020,Man City,Liverpool,Manchester City,Liverpool
122,22016,Burnley,West Ham,Burnley,West Ham
125,22019,Luton,Crystal Palace,Luton,Crystal Palace
127,22021,Newcastle,Chelsea,Newcastle United,Chelsea
128,22022,Nott'm Forest,Brighton,Nottingham Forest,Brighton
129,22023,Sheffield Utd,Bournemouth,Sheffield United,Bournemouth
121,22015,Brentford,Arsenal,Brentford,Arsenal
130,22024,Spurs,Aston Villa,Tottenham,Aston Villa
123,22017,Everton,Man Utd,Everton,Manchester United
124,22018,Fulham,Wolves,Fulham,Wolverhampton Wanderers
131,22026,Arsenal,Wolves,Arsenal,Wolverhampton Wanderers
133,22027,Brentford,Luton,Brentford,Luton
134,22028,Burnley,Sheffield Utd,Burnley,Sheffield United
139,22033,Nott'm Forest,Everton,Nottingham Forest,Everton
138,22032,Newcastle,Man Utd,Newcastle United,Manchester United
