fpl_code,understat_id,fpl_name,understat_name
201410,11732,Auston Trusty,Auston Trusty
220362,6885,Axel Disasi,Axel Disasi
244954,6221,Pau Torres,Pau Torres
82143,8776,Wes Foderingham,Wes Foderingham
174310,11718,Elijah Adebayo,Elijah Adebayo
497894,11055,Rasmus Højlund,Rasmus Højlund
108796,11714,Tom Lockyer,Tom Lockyer
179458,5355,Jacob Bruun Larsen,Jacob Bruun Larsen
535301,10527,Carlos Baleba,Carlos Baleba
435973,7498,Lyle Foster,Lyle Foster
158983,8808,Wataru Endo,Wataru Endo
535818,11710,Simon Adingra,Simon Adingra
242453,11720,Jacob Brown,Jacob Brown
487702,10620,Luca Koleosho,Luca Koleosho
492831,11701,Zeki Amdouni,Zeki Amdouni
432422,7958,Sandro Tonali,Sandro Tonali
511783,11703,Anass Zaroury,Anass Zaroury
229164,11719,Chiedozie Ogbene,Chiedozie Ogbene
482609,9017,Malo Gusto,Malo Gusto
82738,11722,Luke Berry,Luke Berry
224068,10700,Matt Turner,Matt Turner
432990,10041,Yasser Larouci,Yasser Larouci
243557,6556,Moussa Diaby,Moussa Diaby
172912,7927,Sofyan Amrabat,Sofyan Amrabat
477555,11903,Oscar Bobb,Oscar Bobb
534392,11810,Mason Burstow,Mason Burstow
202641,10913,André Onana,André Onana
91046,11721,Cauley Woodrow,Cauley Woodrow
140200,1214,Thomas Strakosha,Thomas Strakosha
424876,9788,Dominik Szoboszlai,Dominik Szoboszlai
441266,10697,Ryan Gravenberch,Ryan Gravenberch
550839,10822,Wilson Odobert,Wilson Odobert
232892,11728,Calvin Bassey,Calvin Bassey
184254,8858,Guglielmo Vicario,Guglielmo Vicario
247245,11998,Hannes Delcroix,Hannes Delcroix
54738,11712,Thomas Kaminski,Thomas Kaminski
441302,11807,Ian Maatsen,Ian Maatsen
222683,6963,Justin Kluivert,Justin Kluivert
156658,1771,Reece Burke,Reece Burke
210462,5722,Ibrahim Sangaré,Ibrahim Sangare
487968,11699,Ameen Al-Dakhil,Ameen Al Dakhil
245414,6686,Nicolò Zaniolo,Nicolo Zaniolo
477424,9790,Joško Gvardiol,Josko Gvardiol
248875,8981,Jérémy Doku,Jéremy Doku
476369,9619,Issa Kaboré,Issa Kabore
233821,10386,Anel Ahmedhodžić,Anel Ahmedhodzic
504198,11730,Anis Slimane,Anis Ben Slimane
208904,11715,Mads Juel Andersen,Mads Andersen
232351,7277,Ryan Giles,Ryan John Giles
536908,12105,Alejo Véliz Veliz,Alejo Véliz
487053,8831,Destiny Udogie,Iyenoma Destiny Udogie
250199,8252,Nicolás Domínguez Dominguez,Nicolás Domínguez
165183,11713,Amari'i Bell,Amari&#039;i Bell
445122,11707,Jurriën Timber J.Timber,Jurriën Timber
523957,11729,Bénie Traoré T.Bénie,Bénie Traoré
218430,9897,Gonzalo Montiel G.Montiel,Gonzalo Montiel
517052,10048,Nicolas Jackson N.Jackson,Nicolas Jackson
491279,10050,Micky van de Ven Van de Ven,Micky van de Ven
244042,10717,Rodrigo Muniz Carvalho,Rodrigo Muniz
