id,isResult,h,a,goals,xG,datetime,forecast
11774,True,80,81,"{'h': '0', 'a': '1'}","{'h': '2.73185', 'a': '1.12034'}",2019-11-30 15:00:00,"{'w': '0.7651', 'd': '0.1557', 'l': '0.0792'}"
11776,True,87,220,"{'h': '2', 'a': '1'}","{'h': '1.36832', 'a': '0.867601'}",2019-11-30 15:00:00,"{'w': '0.5044', 'd': '0.2797', 'l': '0.2159'}"
11779,True,82,73,"{'h': '3', 'a': '2'}","{'h': '2.93189', 'a': '1.02949'}",2019-11-30 15:00:00,"{'w': '0.8068', 'd': '0.1241', 'l': '0.0691'}"
11778,True,74,90,"{'h': '2', 'a': '1'}","{'h': '1.9671', 'a': '0.504005'}",2019-11-30 17:30:00,"{'w': '0.826', 'd': '0.1455', 'l': '0.0285'}"
11780,True,229,238,"{'h': '1', 'a': '1'}","{'h': '1.27422', 'a': '1.47296'}",2019-12-01 14:00:00,"{'w': '0.3147', 'd': '0.2737', 'l': '0.4116'}"
11781,True,79,83,"{'h': '2', 'a': '2'}","{'h': '0.810596', 'a': '1.96157'}",2019-12-01 14:00:00,"{'w': '0.1015', 'd': '0.191', 'l': '0.7075'}"
11775,True,75,72,"{'h': '2', 'a': '1'}","{'h': '2.24348', 'a': '1.24986'}",2019-12-01 16:30:00,"{'w': '0.6223', 'd': '0.2153', 'l': '0.1624'}"
11782,True,89,71,"{'h': '2', 'a': '2'}","{'h': '1.84804', 'a': '1.29701'}",2019-12-01 16:30:00,"{'w': '0.5014', 'd': '0.2793', 'l': '0.2193'}"
11791,True,78,73,"{'h': '1', 'a': '0'}","{'h': '0.383763', 'a': '0.342799'}",2019-12-03 19:30:00,"{'w': '0.2392', 'd': '0.5482', 'l': '0.2126'}"
11784,True,92,88,"{'h': '1', 'a': '4'}","{'h': '0.486548', 'a': '2.56057'}",2019-12-03 20:15:00,"{'w': '0.025', 'd': '0.0891', 'l': '0.8859'}"
11785,True,75,90,"{'h': '2', 'a': '0'}","{'h': '2.28735', 'a': '0.199733'}",2019-12-04 19:30:00,"{'w': '0.9199', 'd': '0.0706', 'l': '0.0095'}"
11787,True,229,81,"{'h': '2', 'a': '0'}","{'h': '1.82237', 'a': '0.501977'}",2019-12-04 19:30:00,"{'w': '0.735', 'd': '0.1951', 'l': '0.0699'}"
11788,True,89,82,"{'h': '2', 'a': '1'}","{'h': '1.47683', 'a': '0.542315'}",2019-12-04 19:30:00,"{'w': '0.6568', 'd': '0.2512', 'l': '0.092'}"
11789,True,80,71,"{'h': '2', 'a': '1'}","{'h': '1.9774', 'a': '0.86086'}",2019-12-04 19:30:00,"{'w': '0.6494', 'd': '0.2192', 'l': '0.1314'}"
